Institution Name,Full Time Enrollment,State,Ranking List,Rank,Rank Pct Rank,Undergraduate Admit Rate,Undergraduate Admit Rate Pct Rank,Average Monthly Search Volume,Average Monthly Search Volume Pct Rank,Credential Score,Student Life Grade,Student Life Score,Experience Score,15-Year NPV,15-Year NPV PCT Rank,30-Year NPV,30-Year NPV PCT Rank,Instructional Wages per Full-Time Student,Instructional Wages per Full-Time Student PCT Rank,Eduation Score,Average Undergraduate Tuition and Fees,Average Undergraduate Tuition & Fees Score,"Value
(C x E x E)",Value-to-Cost Ratio,Endowment per Full Time Student,Endowment per Full Time Student Pct Rank,Percentage of International Students,Percentage of International Students PCT Rank,Vulnerability Score,Prof G Categorization
Adelphi University,6562,NY,USN National University Ranking,166,0.28,0.74,0.29,60500,0.7,1.27,B+,4.00,2.40,318000.00,0.69,888000.00,0.73,8995.00,0.49,1.92,38740.00,0.51,5.78592,0.484826546,28738.00,0.70,0.03,0.39,1.09,Survive
Agnes Scott College,998,GA,USN National College Ranking,58,0.74,0.70,0.38,14800,0.19,1.32,A,4.66,2.80,213000.00,0.10,596000.00,0.09,10013.00,0.60,0.79,41160.00,0.57,2.266594176,0.19987603,229886.00,0.16,0.04,0.50,0.66,Struggle
Albion College,1509,MI,USN National College Ranking,140,0.38,0.68,0.43,18100,0.26,1.07,C+,3.00,1.80,282000.00,0.52,744000.00,0.44,7170.00,0.24,1.19,45590.00,0.68,1.55178,0.095788889,115513.00,0.32,0.01,0.07,0.38,Struggle
Allegheny College,1724,PA,USN National College Ranking,82,0.64,0.64,0.52,22200,0.33,1.49,B,3.66,2.20,277000.00,0.47,773000.00,0.53,10638.00,0.67,1.66,47540.00,0.72,5.207142024,0.300869129,128095.00,0.29,0.04,0.50,0.79,Struggle
American University,11435,DC,USN National University Ranking,77,0.66,0.32,0.84,110000,0.87,2.37,B,3.66,2.20,296000.00,0.61,890000.00,0.73,8116.00,0.39,1.73,48459.00,0.74,9.212378112,0.50102671,59154.00,0.51,0.03,0.39,0.90,Thrive
Amherst College,1855,MA,USN National College Ranking,2,1.00,0.13,0.95,60500,0.7,2.64,A+,5.00,3.00,382000.00,0.87,1015000.00,0.88,18413.00,0.91,2.66,56426.00,0.99,20.2332,0.758479532,1281691.00,0.02,0.07,0.67,0.69,Thrive
Arizona State University-Tempe,46180,AZ,USN National University Ranking,117,0.50,0.85,0.09,165000,0.94,1.52,A+,5.00,3.00,322000.00,0.71,786000.00,0.56,10598.00,0.66,1.92,19579.00,0.19,8.70048,1.714042553,15603.00,0.84,0.06,0.64,1.48,Survive
Auburn University,25806,AL,USN National University Ranking,104,0.55,0.75,0.28,135000,0.9,1.72,A+,5.00,3.00,273000.00,0.45,748000.00,0.46,6521.00,0.14,1.04,20900.00,0.22,4.6035,1.144295302,29892.00,0.69,0.01,0.07,0.76,Thrive
Augustana College,2534,IL,USN National College Ranking,92,0.59,0.64,0.51,27100,0.41,1.51,A-,4.33,2.60,285000.00,0.53,791000.00,0.57,6303.00,0.10,1.2,42135.00,0.59,4.79610285,0.295563126,66351.00,0.47,0.11,0.81,1.28,Perish
Austin College,1295,TX,USN National College Ranking,117,0.50,0.55,0.66,18100,0.26,1.42,C+,3.00,1.80,278000.00,0.48,748000.00,0.46,6869.00,0.19,1.13,39960.00,0.54,3.052728,0.28916624,109463.00,0.33,0.01,0.07,0.39,Struggle
Azusa Pacific University,7194,CA,USN National University Ranking,228,0.14,0.69,0.43,40500,0.55,1.12,B,3.66,2.20,274000.00,0.45,772000.00,0.52,10085.00,0.61,1.58,38880.00,0.51,3.863414016,0.329699097,12081.00,0.89,0.00,0.00,0.89,Struggle
Baker University,1119,KS,USN National University Ranking,254,0.08,0.88,0.06,12100,0.14,0.29,A,4.66,2.80,307000.00,0.65,807000.00,0.6,6311.00,0.11,1.36,29830.00,0.38,1.03301016,0.131476411,34453.00,0.66,0.03,0.39,1.04,Perish
Ball State University,15926,IN,USN National University Ranking,192,0.22,0.65,0.49,60500,0.7,1.41,A-,4.33,2.60,252000.00,0.30,652000.00,0.17,7465.00,0.29,0.76,18182.00,0.15,3.14129376,1.038787619,13453.00,0.87,0.00,0.00,0.87,Thrive
Bard College,2121,NY,USN National College Ranking,62,0.73,0.65,0.50,49500,0.63,1.85,C,2.66,1.60,177000.00,0.04,564000.00,0.05,21360.00,0.95,1.04,54680.00,0.91,3.05263728,0.124106081,69834.00,0.44,0.17,0.95,1.39,Perish
Barnard College,2519,NY,USN National College Ranking,25,0.90,0.14,0.94,60500,0.7,2.53,A+,5.00,3.00,343000.00,0.78,907000.00,0.77,12969.00,0.79,2.34,55032.00,0.93,17.769864,0.713821162,136998.00,0.27,0.12,0.83,1.09,Survive
Bates College,1832,ME,USN National College Ranking,21,0.91,0.18,0.91,33100,0.47,2.29,A,4.66,2.80,326000.00,0.73,902000.00,0.76,12349.00,0.76,2.25,53794.00,0.87,14.77104432,0.659127368,172259.00,0.22,0.10,0.78,1.00,Survive
Baylor University,16451,TX,USN National University Ranking,79,0.66,0.39,0.79,165000,0.94,2.38,A-,4.33,2.60,241000.00,0.22,743000.00,0.43,8764.00,0.47,1.13,45542.00,0.68,6.571976142,0.425535881,79678.00,0.40,0.03,0.39,0.79,Struggle
Bellarmine University,2762,KY,USN National University Ranking,197,0.21,0.86,0.07,22200,0.33,0.62,A-,4.33,2.60,256000.00,0.33,701000.00,0.3,8303.00,0.42,1.06,42200.00,0.60,1.701297702,0.127811412,24209.00,0.74,0.01,0.07,0.81,Struggle
Belmont University,7521,TN,USN National University Ranking,166,0.28,0.82,0.14,74000,0.78,1.2,A-,4.33,2.60,177000.00,0.04,606000.00,0.1,6821.00,0.18,0.32,34310.00,0.44,0.88133253,0.125064926,29388.00,0.69,0.01,0.07,0.76,Struggle
Beloit College,1228,WI,USN National College Ranking,82,0.64,0.56,0.66,14800,0.19,1.49,C+,3.00,1.80,256000.00,0.33,669000.00,0.22,8088.00,0.39,0.94,50040.00,0.77,2.6470224,0.126827771,131053.00,0.28,0.20,0.97,1.26,Perish
Bennington College,780,VT,USN National College Ranking,89,0.61,0.57,0.64,14800,0.19,1.44,B,3.66,2.20,94000.00,0.00,381000.00,0,11669.00,0.73,0.74,53860.00,0.87,2.32586046,0.09890124,44814.00,0.58,0.21,0.98,1.56,Perish
Berea College,1631,KY,USN National College Ranking,46,0.80,0.38,0.80,27100,0.41,2.01,C+,3.00,1.80,253000.00,0.31,581000.00,0.07,9463.00,0.56,0.94,39990.00,0.54,3.0619116,0.252570453,730888.00,0.04,0.07,0.67,0.71,Struggle
Bethel University,3555,MN,USN National University Ranking,197,0.21,0.71,0.38,40500,0.55,1.14,B,3.66,2.20,249000.00,0.27,710000.00,0.33,7583.00,0.32,0.92,37300.00,0.49,2.3197446,0.173919973,18925.00,0.81,0.06,0.64,1.45,Perish
Binghamton University,15748,NY,USN National University Ranking,79,0.66,0.40,0.78,90500,0.82,2.26,B+,4.00,2.40,386000.00,0.87,986000.00,0.86,6712.00,0.17,1.9,18251.00,0.16,10.2765312,2.455563011,7027.00,0.96,0.06,0.64,1.60,Survive
Biola University,4656,CA,USN National University Ranking,185,0.24,0.73,0.31,40500,0.55,1.09,A-,4.33,2.60,194000.00,0.06,627000.00,0.12,7526.00,0.31,0.49,40488.00,0.55,1.444872504,0.096247835,33195.00,0.67,0.04,0.50,1.16,Perish
Birmingham Southern College,1261,AL,USN National College Ranking,140,0.38,0.57,0.65,8100,0.08,1.1,B+,4.00,2.40,246000.00,0.26,700000.00,0.3,6854.00,0.19,0.75,17650.00,0.14,1.4431752,1.137253901,44965.00,0.58,0.01,0.07,0.64,Thrive
Boston College,13165,MA,USN National University Ranking,37,0.84,0.28,0.86,165000,0.94,2.64,A+,5.00,3.00,403000.00,0.90,1109000.00,0.92,13813.00,0.83,2.65,55464.00,0.96,20.496801,0.799937595,191087.00,0.19,0.08,0.71,0.90,Thrive
Boston University,28287,MA,USN National University Ranking,40,0.82,0.22,0.89,201000,0.97,2.68,A+,5.00,3.00,327000.00,0.74,963000.00,0.85,17624.00,0.90,2.49,53948.00,0.88,19.95015,0.83869971,77042.00,0.41,0.24,0.99,1.40,Survive
Bowdoin College,1825,ME,USN National College Ranking,6,0.98,0.10,0.96,49500,0.63,2.57,A+,5.00,3.00,381000.00,0.86,1018000.00,0.88,17111.00,0.89,2.63,53922.00,0.88,19.929798,0.918085406,892145.00,0.03,0.09,0.74,0.77,Thrive
Bowling Green State University-Main Campus,14323,OH,USN National University Ranking,246,0.10,0.72,0.34,27500,0.47,0.91,A,4.66,2.80,225000.00,0.15,619000.00,0.11,6336.00,0.11,0.38,15099.00,0.08,1.015496016,0.515218679,11331.00,0.90,0.02,0.26,1.16,Survive
Brandeis University,5267,MA,USN National University Ranking,40,0.82,0.31,0.84,49500,0.63,2.29,B-,3.33,2.00,294000.00,0.59,858000.00,0.7,15216.00,0.87,2.16,55395.00,0.95,10.10180808,0.393832674,198668.00,0.19,0.19,0.97,1.15,Perish
Brigham Young University-Provo,30162,UT,USN National University Ranking,77,0.66,0.64,0.50,40500,0.55,1.71,A+,5.00,3.00,392000.00,0.89,973000.00,0.85,8891.00,0.49,2.23,5620.00,0.01,10.29843,38.14233333,65460.00,0.47,0.02,0.26,0.73,Thrive
Brown University,9648,RI,USN National University Ranking,14,0.94,0.08,0.98,165000,0.94,2.86,A+,5.00,3.00,378000.00,0.86,1035000.00,0.89,17492.00,0.90,2.64,55466.00,0.96,22.75377,0.880597933,373533.00,0.10,0.15,0.92,1.02,Survive
Bryn Mawr College,1632,PA,USN National College Ranking,27,0.89,0.34,0.82,27100,0.41,2.12,A,4.66,2.80,306000.00,0.64,838000.00,0.67,12930.00,0.79,2.1,52360.00,0.81,12.4893853,0.582581645,549777.00,0.06,0.22,0.99,1.05,Survive
Bucknell University,3621,PA,USN National College Ranking,35,0.85,0.33,0.83,49500,0.63,2.31,A-,4.33,2.60,369000.00,0.84,1059000.00,0.9,12873.00,0.78,2.52,56092.00,0.98,14.6523303,0.554886401,235103.00,0.16,0.07,0.67,0.83,Thrive
California Institute of Technology,2233,CA,USN National University Ranking,12,0.95,0.07,0.99,14800,0.19,2.13,A-,4.33,2.60,539000.00,0.98,1376000.00,0.98,51157.00,0.99,2.96,52362.00,0.82,16.13071181,0.829769126,1301837.00,0.02,0.08,0.71,0.72,Thrive
California State University-Fresno,21444,CA,USN National University Ranking,211,0.18,0.58,0.63,8100,0.08,0.89,B+,4.00,2.40,316000.00,0.69,751000.00,0.47,4211.00,0.00,1.16,12527.00,0.02,2.57544,5.020350877,7068.00,0.96,0.01,0.07,1.03,Survive
Campbell University,5457,NC,USN National University Ranking,272,0.04,0.76,0.24,49500,0.63,0.91,B-,3.33,2.00,237000.00,0.20,684000.00,0.25,8801.00,0.48,0.94,32500.00,0.42,1.770132096,0.204238156,27385.00,0.72,0.02,0.26,0.97,Perish
Carleton College,2077,MN,USN National College Ranking,7,0.97,0.20,0.90,33100,0.47,2.34,A,4.66,2.80,281000.00,0.51,809000.00,0.61,14818.00,0.86,1.97,54759.00,0.92,13.37056706,0.54961841,422963.00,0.08,0.12,0.83,0.90,Thrive
Carnegie Mellon University,13160,PA,USN National University Ranking,25,0.90,0.17,0.92,33100,0.47,2.29,A-,4.33,2.60,513000.00,0.97,1327000.00,0.97,21069.00,0.94,2.88,55465.00,0.96,17.20612793,0.666594139,142264.00,0.26,0.18,0.96,1.22,Survive
Case Western Reserve University,10662,OH,USN National University Ranking,40,0.82,0.29,0.86,60500,0.7,2.38,B+,4.00,2.40,415000.00,0.92,1141000.00,0.94,17270.00,0.89,2.75,49042.00,0.75,15.79368,0.788343816,176961.00,0.21,0.13,0.86,1.07,Survive
Catholic University of America,4257,DC,USN National University Ranking,139,0.39,0.84,0.11,14800,0.19,0.69,A-,4.33,2.60,294000.00,0.59,847000.00,0.68,15206.00,0.87,2.13,45804.00,0.69,2.871951306,0.184028662,82326.00,0.38,0.01,0.07,0.45,Struggle
Centenary College of Louisiana,549,LA,USN National College Ranking,157,0.31,0.60,0.59,2900,0.04,0.93,B,3.66,2.20,223000.00,0.14,660000.00,0.19,7282.00,0.25,0.58,36580.00,0.46,0.92054124,0.133702431,241238.00,0.15,0.00,0.00,0.15,Struggle
Central College,1077,IA,USN National College Ranking,160,0.30,0.70,0.39,9900,0.11,0.8,B,3.66,2.20,242000.00,0.24,677000.00,0.24,7365.00,0.27,0.74,37296.00,0.48,1.01106036,0.138179631,75219.00,0.42,0.00,0.00,0.42,Struggle
Central Michigan University,15966,MI,USN National University Ranking,240,0.11,0.69,0.42,60500,0.7,1.23,A,4.66,2.80,257000.00,0.34,665000.00,0.21,6130.00,0.08,0.62,18540.00,0.17,2.32409112,0.652101886,11398.00,0.90,0.01,0.07,0.97,Survive
Centre College,1433,KY,USN National College Ranking,53,0.77,0.73,0.31,14800,0.19,1.28,B,3.66,2.20,247000.00,0.27,691000.00,0.27,9052.00,0.50,1.04,41700.00,0.58,2.8026999,0.220858936,225826.00,0.17,0.05,0.59,0.76,Struggle
Chapman University,8598,CA,USN National University Ranking,125,0.45,0.54,0.67,90500,0.82,1.94,A,4.66,2.80,241000.00,0.22,772000.00,0.52,9015.00,0.49,1.24,52724.00,0.84,6.958175928,0.307530095,45833.00,0.57,0.05,0.59,1.15,Perish
Chatham University,1790,PA,USN National University Ranking,185,0.24,0.55,0.66,18100,0.26,1.16,B+,4.00,2.40,199000.00,0.07,555000.00,0.04,7347.00,0.26,0.37,37611.00,0.49,0.8773632,0.107244004,44962.00,0.58,0.00,0.00,0.58,Struggle
Claremont McKenna College,1324,CA,USN National College Ranking,7,0.97,0.09,0.97,12100,0.14,2.08,A-,4.33,2.60,437000.00,0.94,1147000.00,0.94,18091.00,0.91,2.79,54405.00,0.89,15.11080456,0.643286699,630896.00,0.05,0.18,0.96,1.00,Survive
Clark University,2944,MA,USN National University Ranking,91,0.60,0.59,0.59,40500,0.55,1.74,B,3.66,2.20,251000.00,0.29,730000.00,0.39,9709.00,0.58,1.26,45730.00,0.68,4.918686444,0.274771602,148393.00,0.25,0.10,0.78,1.03,Perish
Clarke University,878,IA,USN National University Ranking,218,0.16,0.82,0.13,9900,0.11,0.4,B,3.66,2.20,218000.00,0.12,620000.00,0.11,6392.00,0.12,0.36,33350.00,0.43,0.321195744,0.028596487,31429.00,0.68,0.03,0.39,1.07,Perish
Clarkson University,3651,NY,USN National University Ranking,117,0.50,0.71,0.37,33100,0.47,1.34,B-,3.33,2.00,416000.00,0.92,1118000.00,0.93,9604.00,0.57,2.42,49444.00,0.76,5.980609404,0.315532838,54321.00,0.53,0.02,0.26,0.78,Struggle
Clemson University,21940,SC,USN National University Ranking,70,0.69,0.47,0.73,135000,0.9,2.32,A+,5.00,3.00,330000.00,0.75,841000.00,0.67,6840.00,0.19,1.6,26251.00,0.31,10.797999,2.209535298,33810.00,0.66,0.01,0.07,0.73,Thrive
Coe College,1392,IA,USN National College Ranking,130,0.44,0.67,0.46,18100,0.26,1.15,B,3.66,2.20,265000.00,0.38,715000.00,0.35,6201.00,0.08,0.81,44050.00,0.64,1.891902312,0.131218082,66726.00,0.46,0.02,0.26,0.72,Struggle
Colby College,2000,ME,USN National College Ranking,11,0.95,0.13,0.95,40500,0.55,2.45,A-,4.33,2.60,359000.00,0.82,925000.00,0.8,13311.00,0.81,2.43,55210.00,0.94,15.46096819,0.615729518,414007.00,0.08,0.11,0.81,0.89,Thrive
Colgate University,2944,NY,USN National College Ranking,17,0.93,0.25,0.87,60500,0.7,2.49,A,4.66,2.80,381000.00,0.86,1000000.00,0.87,13294.00,0.80,2.54,55870.00,0.97,17.19416696,0.656516493,313724.00,0.12,0.08,0.71,0.83,Thrive
College of Saint Benedict,1764,MN,USN National College Ranking,82,0.64,0.83,0.11,2400,0.02,0.77,A-,4.33,2.60,287000.00,0.54,799000.00,0.59,7210.00,0.24,1.36,45264.00,0.66,2.77809336,0.154030459,44277.00,0.59,0.04,0.50,1.08,Perish
College of the Atlantic,322,ME,USN National College Ranking,82,0.64,0.67,0.46,6600,0.07,1.16,B,3.66,2.20,107000.00,0.00,347000.00,0,9291.00,0.54,0.54,43542.00,0.63,1.375394328,0.080221308,178191.00,0.21,0.33,1.00,1.20,Perish
College of the Holy Cross,2913,MA,USN National College Ranking,27,0.89,0.38,0.80,22200,0.33,2.01,A-,4.33,2.60,370000.00,0.84,1061000.00,0.9,11361.00,0.72,2.47,52770.00,0.84,11.43281076,0.580051282,268866.00,0.14,0.03,0.39,0.53,Thrive
College of William and Mary,7986,VA,USN National University Ranking,40,0.82,0.37,0.80,27100,0.41,2.04,C,2.66,1.60,362000.00,0.82,931000.00,0.81,11294.00,0.71,2.34,34336.00,0.44,7.6757625,0.809935897,117148.00,0.31,0.06,0.64,0.95,Survive
Colorado College,2106,CO,USN National College Ranking,27,0.89,0.15,0.93,60500,0.7,2.51,A,4.66,2.80,189000.00,0.05,632000.00,0.13,14050.00,0.83,1.01,55470.00,0.96,7.52157552,0.290790053,363357.00,0.10,0.09,0.74,0.84,Struggle
Colorado School of Mines,5801,CO,USN National University Ranking,84,0.63,0.49,0.71,40500,0.55,1.88,B+,4.00,2.40,538000.00,0.98,1364000.00,0.98,8060.00,0.38,2.35,28774.00,0.35,10.6133544,1.071082289,44498.00,0.58,0.05,0.59,1.17,Survive
Colorado State University-Fort Collins,25601,CO,USN National University Ranking,166,0.28,0.84,0.10,90500,0.82,1.2,A+,5.00,3.00,285000.00,0.53,744000.00,0.44,7702.00,0.33,1.3,20658.00,0.21,4.684482,0.826187302,14498.00,0.85,0.06,0.64,1.49,Survive
Columbia University in the City of New York,26072,NY,USN National University Ranking,3,0.99,0.06,0.99,301000,0.99,2.97,A+,5.00,3.00,537000.00,0.97,1348000.00,0.98,57219.00,1.00,2.95,59430.00,1.00,26.151048,0.968557333,416893.00,0.08,0.14,0.89,0.96,Survive
Concordia College at Moorhead,2041,MN,USN National College Ranking,132,0.43,0.61,0.56,2900,0.04,1.03,B+,4.00,2.40,246000.00,0.26,679000.00,0.25,6728.00,0.17,0.68,39878.00,0.53,1.78482,0.138005103,63197.00,0.49,0.04,0.50,0.99,Perish
Concordia University-Wisconsin,3722,WI,USN National University Ranking,281,0.03,0.65,0.49,12100,0.14,0.66,B,3.66,2.20,223000.00,0.14,640000.00,0.14,7804.00,0.35,0.63,29450.00,0.37,1.01955888,0.143035758,20519.00,0.78,0.01,0.07,0.84,Struggle
Connecticut College,1798,CT,USN National College Ranking,46,0.80,0.38,0.80,40500,0.55,2.15,B-,3.33,2.00,280000.00,0.50,815000.00,0.62,12159.00,0.75,1.88,54820.00,0.92,8.423568,0.343594714,175300.00,0.21,0.08,0.71,0.92,Struggle
Cornell College,1019,IA,USN National College Ranking,68,0.70,0.61,0.57,22200,0.33,1.6,B,3.66,2.20,216000.00,0.11,635000.00,0.13,7003.00,0.22,0.46,42299.00,0.60,1.7109036,0.104221711,76273.00,0.41,0.06,0.64,1.05,Perish
Cornell University,23499,NY,USN National University Ranking,17,0.93,0.11,0.96,201000,0.97,2.85,A+,5.00,3.00,465000.00,0.95,1216000.00,0.96,16225.00,0.88,2.79,55188.00,0.94,23.889729,0.952427102,292416.00,0.13,0.10,0.78,0.91,Thrive
Covenant College,1008,GA,USN National College Ranking,148,0.34,0.97,0.00,12100,0.14,0.49,B,3.66,2.20,213000.00,0.10,614000.00,0.11,6257.00,0.09,0.3,34330.00,0.44,0.33221088,0.027101557,41714.00,0.61,0.04,0.50,1.11,Perish
Creighton University,7119,NE,USN National University Ranking,104,0.55,0.71,0.36,49500,0.63,1.53,A-,4.33,2.60,265000.00,0.38,792000.00,0.57,10536.00,0.65,1.6,39916.00,0.54,5.72047125,0.514245887,79901.00,0.39,0.02,0.26,0.65,Thrive
CUNY City College,10988,NY,USN National University Ranking,228,0.14,0.48,0.72,2400,0.02,0.88,C+,3.00,1.80,342000.00,0.78,793000.00,0.58,10179.00,0.62,1.97,10975.00,0.01,3.1232016,19.27902222,28135.00,0.71,0.02,0.26,0.97,Survive
Daemen College,2062,NY,USN National University Ranking,263,0.06,0.54,0.67,14800,0.19,0.92,C+,3.00,1.80,265000.00,0.38,682000.00,0.25,6907.00,0.20,0.83,28580.00,0.35,1.4791248,0.177864935,7817.00,0.94,0.01,0.07,1.01,Perish
Dallas Baptist University,3077,TX,USN National University Ranking,281,0.03,0.88,0.06,18100,0.26,0.34,B+,4.00,2.40,227000.00,0.16,648000.00,0.16,7497.00,0.30,0.62,28870.00,0.36,0.5694,0.081424281,16713.00,0.83,0.00,0.00,0.83,Struggle
Dartmouth College,6436,NH,USN National University Ranking,12,0.95,0.09,0.97,60500,0.7,2.61,A,4.66,2.80,444000.00,0.95,1179000.00,0.95,14866.00,0.86,2.76,55453.00,0.95,19.95464378,0.782075006,853667.00,0.04,0.11,0.81,0.85,Thrive
Davidson College,1843,NC,USN National College Ranking,17,0.93,0.19,0.90,49500,0.63,2.46,A,4.66,2.80,356000.00,0.81,929000.00,0.81,13095.00,0.79,2.41,51447.00,0.79,16.15861804,0.808739641,441961.00,0.07,0.07,0.67,0.74,Thrive
Denison University,2365,OH,USN National College Ranking,43,0.81,0.34,0.82,33100,0.47,2.11,B+,4.00,2.40,266000.00,0.39,742000.00,0.43,10537.00,0.65,1.47,51960.00,0.81,7.6226784,0.349407701,359584.00,0.10,0.16,0.93,1.04,Perish
DePaul University,18185,IL,USN National University Ranking,125,0.45,0.68,0.45,74000,0.78,1.68,A,4.66,2.80,270000.00,0.42,789000.00,0.56,7943.00,0.38,1.36,39975.00,0.54,6.367515336,0.435117899,32632.00,0.67,0.09,0.74,1.41,Perish
DePauw University,2139,IN,USN National College Ranking,46,0.80,0.63,0.54,22200,0.33,1.67,B+,4.00,2.40,313000.00,0.67,838000.00,0.67,10776.00,0.68,2.01,49704.00,0.76,7.9043688,0.3903392,341678.00,0.11,0.14,0.89,1.00,Perish
Dickinson College,2361,PA,USN National College Ranking,46,0.80,0.49,0.71,33100,0.47,1.98,C,2.66,1.60,310000.00,0.65,869000.00,0.71,10606.00,0.66,2.03,54661.00,0.91,6.463091376,0.263627483,185314.00,0.19,0.14,0.89,1.08,Perish
Drake University,3760,IA,USN National University Ranking,130,0.44,0.68,0.44,40500,0.55,1.43,B+,4.00,2.40,322000.00,0.71,890000.00,0.73,8451.00,0.43,1.88,41396.00,0.57,5.665308,0.449306686,58376.00,0.51,0.01,0.07,0.58,Thrive
Drew University,1882,NJ,USN National College Ranking,117,0.50,0.69,0.41,22200,0.33,1.24,C+,3.00,1.80,266000.00,0.39,779000.00,0.55,9065.00,0.51,1.45,39800.00,0.53,3.2356368,0.226966667,48689.00,0.56,0.07,0.67,1.23,Perish
